neighbourhood_code,neighbourhood_name,population,crime_rate_per_1000,log_crime_rate,tree_density_per_km2,light_density_per_km2,mean_dist_nightlife,mean_dist_mobility,mean_dist_retail,mean_dist_education,mean_dist_culture_sport,mean_dist_emergency_health
WK0363KP,Zuidas,5225,25.07177033492823,3.2608531326182875,1558.0645161290322,694.0092165898618,1.3166666666666667,1.1666666666666667,0.6333333333333334,0.7666666666666667,2.6999999999999997,1.8166666666666664
WK0363KQ,Buitenveldert-West,14040,4.487179487179487,1.702414368892205,3075.211267605634,772.9577464788733,1.6666666666666663,1.9666666666666668,0.6333333333333334,0.6333333333333333,3.1666666666666665,1.7333333333333334
WK0363KR,Buitenveldert-Oost,8305,5.057194461167971,1.8012467326787558,6640.0,1058.8235294117646,1.7333333333333334,1.6333333333333335,0.6,0.5666666666666668,2.716666666666667,2.3000000000000003
WK0363MA,Oostelijk Havengebied,20575,4.034021871202916,1.616219241400332,665.8402203856749,640.771349862259,1.45,3.0999999999999996,0.9666666666666667,0.8500000000000001,2.6,2.45
WK0363MB,Weesperzijde,5895,9.32994062765055,2.3350465355497394,2115.5555555555557,1206.6666666666667,0.7999999999999999,2.6,0.8666666666666667,0.6166666666666668,1.6333333333333335,1.0833333333333335
WK0363MC,Oosterparkbuurt,10690,9.354536950420954,2.337424776360579,3100.0,1452.0,0.6666666666666666,2.6999999999999997,0.6999999999999998,0.4666666666666666,1.383333333333333,0.7000000000000001
WK0363MD,Transvaalbuurt,8875,4.619718309859155,1.726281539848548,2931.578947368421,1597.3684210526314,0.7166666666666667,2.6333333333333333,0.5,0.5666666666666668,1.4666666666666666,0.9333333333333332
WK0363ME,Dapperbuurt,10000,11.4,2.517696472610991,2486.8852459016393,1568.8524590163934,0.6333333333333333,2.433333333333333,0.5333333333333333,0.4833333333333334,1.1500000000000001,0.9166666666666666
WK0363MF,Indische Buurt-West,12270,4.400977995110024,1.6865800473773154,2125.0,1862.5,0.8999999999999999,2.5666666666666664,0.7000000000000001,0.6,1.4833333333333334,1.2666666666666666
WK0363MG,Indische Buurt-Oost,9815,4.99235863474274,1.7904850966839803,2475.193798449612,806.2015503875969,1.1333333333333333,2.6999999999999997,0.8333333333333334,0.5499999999999999,1.7666666666666668,1.6499999999999997
WK0363MH,Zeeburgereiland/Bovendiep,5675,5.286343612334802,1.8383795999954338,885.0144092219019,301.72910662824205,2.5833333333333335,3.1666666666666665,1.8,1.6833333333333333,4.133333333333333,3.5500000000000003
WK0363MJ,IJburg-West,16310,2.452483139178418,1.2390937226336047,1737.3015873015872,1268.2539682539682,3.3666666666666667,4.866666666666666,0.6333333333333334,0.9166666666666666,5.433333333333334,4.7
WK0363MK,IJburg-Oost,620,4.838709677419355,1.7645098267806796,185.0,790.0,4.35,5.366666666666667,1.3,0.85,5.366666666666666,5.466666666666666
WK0363ML,IJburg-Zuid,8210,2.5578562728380025,1.2691581929353128,2220.5479452054797,1068.4931506849316,4.066666666666666,5.633333333333333,0.9333333333333332,0.46666666666666673,5.566666666666666,5.3
WK0363MM,Frankendael,12570,7.637231503579953,2.1560821036416047,4086.8263473053894,1359.8802395209582,1.1500000000000001,2.6,0.8333333333333334,0.7000000000000001,1.9000000000000001,1.5166666666666666
WK0363MN,Middenmeer,15700,5.477707006369426,1.8683665907002518,2603.6423841059604,647.0198675496689,1.2666666666666668,2.533333333333333,0.6333333333333333,0.75,1.6166666666666665,1.8500000000000003
WK0363MP,Betondorp,3085,3.8897893030794166,1.5871492152536733,4939.823008849558,770.7964601769912,1.8,2.2333333333333334,1.0,1.3,1.8333333333333333,2.15
WK0363MQ,Omval/Overamstel,5555,9.000900090009,2.3026750979443786,905.9375,382.5,1.7999999999999998,2.1,1.8666666666666665,1.4166666666666667,3.033333333333333,2.6
WK0363NA,Oostzanerwerf,8870,4.622322435174746,1.726744823236543,1997.2891566265062,534.3373493975904,2.4666666666666663,4.833333333333333,1.3,1.3833333333333335,5.2666666666666675,2.6833333333333336
WK0363NB,Noordelijke IJ-oevers-West,9415,9.134360063728094,2.3159316366897618,681.2345679012346,465.67901234567904,1.0166666666666666,5.133333333333334,1.0999999999999999,1.0666666666666667,3.4166666666666665,1.933333333333333
WK0363NC,Tuindorp Oostzaan,12045,3.2378580323785804,1.4440579605541441,2424.1176470588234,1342.3529411764707,2.05,5.333333333333333,0.9333333333333332,1.3166666666666667,4.366666666666667,2.283333333333333
WK0363ND,Kadoelen,3565,3.927068723702665,1.5947442318515312,1120.6666666666667,520.6666666666666,2.033333333333333,5.366666666666667,1.2666666666666666,1.4166666666666667,4.866666666666667,2.216666666666667
WK0363NE,Banne Buiksloot,14805,3.9851401553529215,1.6064615184354054,3375.4098360655735,1286.8852459016393,1.4333333333333333,4.966666666666667,1.4333333333333333,0.7833333333333333,3.733333333333333,1.216666666666667
WK0363NF,Nieuwendammerdijk/Buiksloterdijk,1705,2.346041055718475,1.2077778725785588,1690.6976744186047,630.232558139535,1.2833333333333334,4.466666666666666,1.2,0.8833333333333334,3.6,2.3000000000000003
WK0363NG,Elzenhagen,5260,5.7034220532319395,1.9026181502201058,3538.3720930232557,1167.4418604651164,1.4333333333333333,4.3,1.3,0.5333333333333333,3.65,1.5999999999999999
WK0363NH,Buikslotermeer,11785,7.976240984302078,2.194581196047186,3283.8709677419356,1330.967741935484,1.1166666666666667,4.6000000000000005,0.7333333333333334,0.7166666666666668,3.883333333333333,1.55
WK0363NJ,Waterlandpleinbuurt,13940,3.658536585365854,1.538701361342322,3568.2119205298013,1248.3443708609273,1.6666666666666667,5.0,0.9333333333333332,0.8166666666666668,4.216666666666667,1.9666666666666668
WK0363NK,Volewijck,9365,7.474639615589963,2.137078129128153,3287.022900763359,1297.709923664122,0.7999999999999999,4.566666666666666,1.1666666666666667,0.6000000000000001,2.9000000000000004,1.8166666666666664
WK0363NL,IJplein/Vogelbuurt,7945,5.538074260541221,1.8776426665338157,3864.8275862068967,1004.1379310344828,0.7666666666666667,4.533333333333333,1.0333333333333334,0.5333333333333333,3.15,2.4
